Condition_Year,Make_Model,Price,Vin
New 2025,New 2025 RAM 1500 Tungsten,"$91,650",
Used 2014,Pre-Owned 2014 Chrysler 200 Touring,"$7,298",
Used 2013,Pre-Owned 2013 Chrysler 300 300C,"$10,995",
Used 2017,Pre-Owned 2017 Chrysler 200 Limited Platinum,"$12,954",
Used 2022,Pre-Owned 2022 Chrysler Pacifica Touring L,"$17,886",
Used 2021,Pre-Owned 2021 Chrysler Pacifica Touring L,"$18,900",
Used 2021,Pre-Owned 2021 Chrysler Pacifica Touring L,"$18,986",
Certified Used 2022,Certified Pre-Owned 2022 Chrysler Pacifica Touring L,"$18,987",
Used 2022,Pre-Owned 2022 Chrysler Pacifica Touring L,"$19,940",
Used 2022,Pre-Owned 2022 Chrysler Pacifica Touring L,"$21,998",
Used 2023,Pre-Owned 2023 Chrysler Pacifica Touring L,"$25,785",
Used 2023,Pre-Owned 2023 Chrysler Pacifica Touring L,"$25,785",
Used 2023,Pre-Owned 2023 Chrysler Pacifica Touring L,"$22,900",
Used 2023,Pre-Owned 2023 Chrysler Pacifica Touring L,"$24,990",
Used 2023,Pre-Owned 2023 Chrysler 300 300S,"$26,499",
Used 2023,Pre-Owned 2023 Chrysler 300 300S,"$28,925",
Used 2023,Pre-Owned 2023 Chrysler Pacifica Limited,"$29,598",
Used 2023,Pre-Owned 2023 Chrysler 300 300S,"$30,400",
New 2025,New 2025 Chrysler Pacifica Select,"$44,640",
New 2025,New 2025 Chrysler Pacifica Select,"$45,425",
New 2025,New 2025 Chrysler Pacifica Select,"$45,425",
New 2025,New 2025 Chrysler Pacifica Select,"$45,425",
New 2024,New 2024 Chrysler Pacifica Touring L,"$49,095",
New 2025,New 2025 Chrysler Pacifica Select,"$46,535",
New 2025,New 2025 Chrysler Pacifica Select,"$48,265",
New 2024,New 2024 Chrysler Pacifica Touring L,"$53,235",
Used 2018,Pre-Owned 2018 Chrysler 300 Limited,,
Used 2017,Pre-Owned 2017 Dodge Grand Caravan GT,"$8,775",
Used 2019,Pre-Owned 2019 Dodge Journey Crossroad,"$12,987",
Used 2018,Pre-Owned 2018 Dodge Challenger SXT Plus,"$16,887",
Used 2021,Pre-Owned 2021 Dodge Challenger SXT,"$16,900",
Used 2021,Pre-Owned 2021 Dodge Challenger SXT,"$19,050",
Used 2019,Pre-Owned 2019 Dodge Charger SXT,"$19,299",
Used 2021,Pre-Owned 2021 Dodge Charger SXT,"$19,497",
Used 2015,Pre-Owned 2015 Dodge Challenger R/T,"$19,995",
Used 2022,Pre-Owned 2022 Dodge Charger SXT,"$19,997",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$28,864",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$27,600",
Used 2018,Pre-Owned 2018 Dodge Charger R/T,"$22,400",
Used 2022,Pre-Owned 2022 Dodge Challenger GT,"$22,790",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$22,973",
Used 2021,Pre-Owned 2021 Dodge Challenger SXT,"$23,974",
Used 2022,Pre-Owned 2022 Dodge Charger GT,"$24,599",
Used 2023,Pre-Owned 2023 Dodge Charger GT,"$25,296",
Used 2023,Pre-Owned 2023 Dodge Durango GT,"$26,995",
Used 2023,Pre-Owned 2023 Dodge Durango GT Launch Edition,"$27,147",
Used 2023,Pre-Owned 2023 Dodge Durango GT Launch Edition,"$27,329",
Used 2024,Pre-Owned 2024 Dodge Hornet R/T,"$27,900",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$29,700",
Used 2023,Pre-Owned 2023 Dodge Charger SXT,"$29,990",
Used 2021,Pre-Owned 2021 Dodge Durango R/T,"$32,788",
Used 2019,Pre-Owned 2019 Dodge Charger Scat Pack,"$32,959",
Used 2015,Pre-Owned 2015 Dodge Challenger SRT 392,"$32,998",
Used 2022,Pre-Owned 2022 Dodge Durango R/T,"$33,168",
Used 2022,Pre-Owned 2022 Dodge Durango R/T,"$34,900",
New 2025,New 2025 Dodge Durango GT,"$43,175",
New 2025,New 2025 Dodge Durango GT,"$42,780",
New 2025,New 2025 Dodge Durango GT,"$43,175",
New 2023,New 2023 Dodge Challenger R/T,"$53,190",
Used 2023,Pre-Owned 2023 Dodge Durango Hemi Orange,"$42,500",
New 2023,New 2023 Dodge Charger R/T,"$53,985",
New 2023,New 2023 Dodge Charger R/T,"$54,725",
New 2023,New 2023 Dodge Charger R/T,"$55,715",
New 2025,New 2025 Dodge Durango GT,"$45,280",
New 2025,New 2025 Dodge Durango GT,"$45,675",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Durango R/T Plus,"$54,590",
New 2024,New 2024 Dodge Charger R/T,"$70,175",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Durango R/T Plus,"$56,285",
Used 2022,Pre-Owned 2022 Dodge Charger Scat Pack Widebody,"$53,900",
New 2025,New 2025 Dodge Durango R/T Plus,"$58,282",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$61,590",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
New 2025,New 2025 Dodge Charger R/T,"$62,685",
Used 2023,Pre-Owned 2023 Dodge Charger Scat Pack Widebody,"$57,999",
New 2025,New 2025 Dodge Charger R/T,"$66,434",
New 2024,New 2024 Dodge Charger Scat Pack,"$82,175",
New 2024,New 2024 Dodge Charger Scat Pack,"$79,680",
New 2025,New 2025 Dodge Charger R/T,"$67,529",
New 2025,New 2025 Dodge Charger R/T,"$67,529",
New 2025,New 2025 Dodge Charger R/T,"$68,434",
New 2024,New 2024 Dodge Charger Scat Pack,"$85,170",
New 2024,New 2024 Dodge Charger Scat Pack,"$85,665",
New 2025,New 2025 Dodge Charger Scat Pack,"$79,680",
New 2025,New 2025 Dodge Charger Scat Pack,"$79,680",
New 2024,New 2024 Dodge Charger R/T,"$77,178",
Used 2023,Pre-Owned 2023 Dodge Challenger SRT Hellcat Jailbreak,"$70,987",
New 2025,New 2025 Dodge Charger Scat Pack,"$79,580",
New 2025,New 2025 Dodge Charger Scat Pack,"$79,680",
New 2025,New 2025 Dodge Charger Scat Pack,"$79,680",
New 2024,New 2024 Dodge Charger Scat Pack,"$85,965",
New 2025,New 2025 Dodge Charger Scat Pack,"$83,468",
Used 2021,Pre-Owned 2021 Dodge Durango R/T,,
Used 2016,Pre-Owned 2016 FIAT 500X Easy,"$9,210",
Used 2016,Pre-Owned 2016 FIAT 500X Trekking,"$9,990",
Used 2016,Pre-Owned 2016 FIAT 500X LOUNG,"$11,855",
New 2024,New 2024 FIAT 500e INSPI(RED),"$34,594",
Used 2012,Pre-Owned 2012 Jeep Compass Limited,"$7,500",
Used 2012,Pre-Owned 2012 Jeep Wrangler Freedom Edition,"$9,700",
Used 2015,Pre-Owned 2015 Jeep Cherokee Limited,"$9,875",
Used 2015,Pre-Owned 2015 Jeep Patriot Latitude,"$10,995",
Used 2014,Pre-Owned 2014 Jeep Cherokee Limited,"$11,455",
Used 2015,Pre-Owned 2015 Jeep Patriot Sport,"$11,900",
Used 2020,Pre-Owned 2020 Jeep Renegade Altitude,"$12,898",
Certified Used 2017,Certified Pre-Owned 2017 Jeep Renegade Altitude,"$12,900",
Used 2015,Pre-Owned 2015 Jeep Grand Cherokee Laredo,"$14,245",
Used 2016,Pre-Owned 2016 Jeep Grand Cherokee Laredo,"$14,787",
Used 2012,Pre-Owned 2012 Jeep Wrangler Unlimited Sahara,"$14,988",
Used 2019,Pre-Owned 2019 Jeep Compass Trailhawk,"$15,466",
Used 2012,Pre-Owned 2012 Jeep Wrangler Unlimited Sahara,"$15,990",
Used 2015,Pre-Owned 2015 Jeep Wrangler Unlimited Sport,"$16,995",
Used 2018,Pre-Owned 2018 Jeep Renegade Latitude,"$17,059",
Used 2014,Pre-Owned 2014 Jeep Wrangler Sport,"$17,472",
Used 2012,Pre-Owned 2012 Jeep Wrangler Unlimited Sahara,"$17,900",
Used 2015,Pre-Owned 2015 Jeep Wrangler Unlimited Rubicon,"$17,986",
Used 2016,Pre-Owned 2016 Jeep Wrangler Unlimited Sport,"$17,998",
Used 2019,Pre-Owned 2019 Jeep Cherokee Trailhawk,"$18,095",
Used 2013,Pre-Owned 2013 Jeep Wrangler Unlimited Sahara,"$18,826",
Used 2022,Pre-Owned 2022 Jeep Compass Latitude,"$18,882",
Used 2018,Pre-Owned 2018 Jeep Compass Latitude,"$18,886",
Used 2016,Pre-Owned 2016 Jeep Wrangler Unlimited Sport,"$18,900",
Used 2021,Pre-Owned 2021 Jeep Cherokee Latitude Lux,"$18,971",
Used 2022,Pre-Owned 2022 Jeep Compass Latitude,"$19,286",
Used 2020,Pre-Owned 2020 Jeep Renegade Latitude,"$19,800",
Used 2023,Pre-Owned 2023 Jeep Renegade Latitude,"$19,889",
Used 2017,Pre-Owned 2017 Jeep Wrangler Unlimited Willys Wheeler,"$19,990",
Used 2021,Pre-Owned 2021 Jeep Cherokee Altitude,"$19,999",
Used 2016,Pre-Owned 2016 Jeep Wrangler Unlimited Sport,"$20,900",
Used 2017,Pre-Owned 2017 Jeep Wrangler Unlimited Sport,"$20,988",
Used 2020,Pre-Owned 2020 Jeep Grand Cherokee Limited,"$23,900",
Used 2022,Pre-Owned 2022 Jeep Grand Cherokee WK Limited,"$21,799",
Used 2018,Pre-Owned 2018 Jeep Wrangler JK Unlimited Sport,"$21,995",
Used 2022,Pre-Owned 2022 Jeep Compass Latitude,"$21,998",
Used 2021,Pre-Owned 2021 Jeep Grand Cherokee Laredo X,"$22,498",
Used 2018,Pre-Owned 2018 Jeep Grand Cherokee Limited,"$22,990",
Used 2016,Pre-Owned 2016 Jeep Wrangler Unlimited Sport,"$23,250",
Used 2020,Pre-Owned 2020 Jeep Wrangler Unlimited Sport,"$23,286",
